pipeline,hit_rate@k,mrr,precision@k,ndcg@k,k
agentic+bm25,0.580000,0.395000,0.224000,0.708295,5
agentic+hyde,0.440000,0.330667,0.204000,0.637867,5
agentic+traditional,0.520000,0.425000,0.220000,0.731362,5
fixed+bm25,0.560000,0.411333,0.204000,0.674882,5
fixed+hyde,0.460000,0.295000,0.208000,0.610794,5
fixed+traditional,0.500000,0.365000,0.236000,0.717027,5
semantic+bm25,0.560000,0.451333,0.264000,0.854527,5
semantic+hyde,0.500000,0.361333,0.244000,0.747393,5
semantic+traditional,0.540000,0.400667,0.248000,0.764645,5
